sector_score,para_a,para_b,total,numbers,money_value,district,loss,history,risk
55.57,3.1,4.66,7.76,5.0,0.59,2,0,0,1
59.85,0.0,0.0,0.0,5.0,1.2,2,1,0,1
1.85,3.26,0.36,3.62,5.0,0.02,2,0,0,1
3.41,12.28,20.62,32.9,5.0,10.16,2,0,1,1
2.72,4.97,42.19,47.16,5.5,45.37,2,0,0,1
3.89,0.0,63.13,63.13,5.0,14.6,2,0,1,1
55.57,0.98,0.0,0.98,5.0,0.0,2,0,0,0
2.37,2.6,1.14,3.74,5.0,8.76,2,0,1,1
3.89,1.0,0.0,1.0,5.0,0.36,2,0,0,1
1.85,0.99,0.0,0.99,5.0,0.0,4,0,0,1
3.41,12.62,80.06,92.68,5.5,43.53,4,0,0,1
55.57,0.49,0.4,0.89,5.0,0.0,2,0,0,0
1.85,2.46,0.37,2.83,5.0,0.0,2,0,0,1
1.85,9.14,1.22,10.36,5.0,0.0,6,0,0,1
1.85,7.22,0.28,7.5,5.0,0.0,2,0,0,1
55.57,2.54,5.52,8.06,5.0,0.49,2,0,0,1
3.89,0.0,1.1,1.1,5.0,0.0,6,0,0,1
55.57,0.74,0.0,0.74,5.0,0.71,2,0,0,0
1.85,3.74,0.55,4.29,5.0,0.0,2,0,0,1
55.57,0.4,0.0025,0.4025,5.0,0.0,2,0,0,0
2.72,1.56,14.64,16.2,5.0,25.97,2,0,0,1
3.89,0.0,2.97,2.97,5.0,2.84,2,0,0,0
59.85,0.39,0.39,0.78,5.0,0.17,4,0,0,1
21.61,0.56,0.63,1.19,5.0,0.09,2,0,0,0
21.61,3.14,5.68,8.82,5.5,11.33,4,0,0,1
2.72,3.62,8.37,11.99,5.0,0.0,2,0,0,1
1.99,0.3,0.0,0.3,5.0,0.0,2,0,0,0
2.72,6.02,135.69,141.71,6.0,89.64,4,0,0,1
2.72,0.0,0.0,0.0,5.0,0.0,2,0,0,0
2.37,0.0,0.0,0.0,5.0,0.0,2,0,0,0
55.57,0.0,0.81,0.81,5.0,0.0,2,0,0,0
2.37,2.21,5.21,7.42,5.0,3.43,2,0,0,1
59.85,0.0,0.0,0.0,5.0,1.44,2,0,0,0
21.61,0.85,0.93,1.78,5.0,0.0,2,0,0,0
55.57,0.47,0.46,0.93,5.0,0.42,2,0,0,0
2.37,0.31,0.69,1.0,5.0,0.0,2,0,0,0
55.57,0.27,0.0017,0.2717,5.0,0.0,2,0,0,0
3.41,6.31,19.42,25.73,5.5,13.88,2,0,0,1
3.41,6.61,55.62,62.23,5.0,57.16,2,1,0,1
3.89,7.97,17.18,25.15,5.0,935.03,2,0,0,1
1.85,1.08,1.98,3.06,5.0,3.92,2,0,0,1
3.89,5.78,57.92,63.7,5.0,11.16,2,0,0,1
55.57,0.0,0.0,0.0,5.0,0.0,2,0,0,0
1.99,0.77,0.0,0.77,5.0,0.0,4,0,0,1
1.85,7.84,2.81,10.65,5.0,0.0,2,1,0,1
2.37,3.29,6.41,9.7,5.0,3.66,2,0,0,1
1.99,0.55,0.0,0.55,5.0,0.67,2,0,0,0
