Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,label
80229.0,1134.806,456.8394,225.2395,81291.0,319.6103,0.87,0.9869,0.7439,0.7829,2.0282,0.6996,1
107244.0,1239.755,474.7988,288.5734,108061.0,369.5231,0.7941,0.9924,0.7399,0.8768,1.6453,0.7783,0
82132.0,1146.16,460.8095,228.7262,83126.0,323.3786,0.8681,0.988,0.6391,0.7857,2.0147,0.7018,0
67437.0,1014.1439999999999,405.0178,213.6599,68094.0,293.0247,0.8495,0.9904,0.6643,0.8240000000000001,1.8956,0.7235,0
84611.0,1140.264,462.2931,233.327,85284.0,328.2226,0.8633,0.9921,0.6839,0.8178,1.9813,0.71,0
72949.0,1083.6,442.30699999999996,211.028,73519.0,304.7647,0.8788,0.9922,0.7237,0.7807,2.096,0.6890000000000001,1
106232.0,1349.849,577.2489,234.7997,107137.0,367.7755,0.9135,0.9916,0.7379,0.7326,2.4585,0.6371,1
65024.0,964.932,360.9694,230.4917,65576.0,287.7345,0.7696,0.9916,0.7476,0.8776,1.5661,0.7971,0
65719.0,987.52,391.9736,214.2964,66350.0,289.2681,0.8373,0.9905,0.7308,0.8469,1.8291,0.738,0
94496.0,1333.2879999999998,545.3045,223.8304,96097.0,346.866,0.9119,0.9833,0.6177,0.6679999999999999,2.4362,0.6361,1
60974.0,963.377,388.2206,201.3212,61835.0,278.6297,0.855,0.9861,0.7369,0.8256,1.9284,0.7177,1
96861.0,1289.9080000000001,551.9162,225.6145,97573.0,351.1798,0.9126,0.9927,0.7317,0.7315,2.4463,0.6363,1
95687.0,1250.073,516.4488,236.8992,96408.0,349.0451,0.8886,0.9925,0.6546,0.7695,2.18,0.6759,1
104191.0,1244.68,480.564,279.0367,105169.0,364.2253,0.8142,0.9907,0.7349,0.8451,1.7222,0.7579,0
93099.0,1318.933,567.3827,209.6766,93996.0,344.2925,0.9292,0.9905,0.49700000000000005,0.6725,2.7060000000000004,0.6068,1
66922.0,988.42,376.4136,227.9987,67537.0,291.9036,0.7957,0.9909,0.7121,0.8608,1.6509,0.7755,0
83005.0,1234.751,539.6816,196.7117,83725.0,325.0927,0.9312,0.9914,0.575,0.6842,2.7435,0.6024,1
86565.0,1215.697,508.1608,218.3103,87292.0,331.9909,0.903,0.9917,0.7189,0.736,2.3277,0.6533,1
86142.0,1174.413,482.8489,228.3861,87136.0,331.1788,0.8811,0.9886,0.7559999999999999,0.7848,2.1142,0.6859,1
89236.0,1249.029,523.925,217.9624,90416.0,337.0739,0.9094,0.9869,0.5421,0.7188,2.4037,0.6434,1
75634.0,1110.387,429.9836,229.97,76640.0,310.3227,0.845,0.9869,0.5793,0.7709,1.8697,0.7217,1
99415.0,1273.363,521.1825,244.21900000000002,100630.0,355.7796,0.8834,0.9879,0.6256,0.7705,2.1341,0.6826,1
83418.0,1109.604,425.491,250.2194,84333.0,325.9004,0.8088,0.9892,0.7057,0.8514,1.7005,0.7659,0
70646.0,1049.483,418.7581,216.4146,71401.0,299.9155,0.8561,0.9894,0.623,0.8059999999999999,1.935,0.7162,0
85855.0,1160.91,472.952,232.0089,86515.0,330.6266,0.8714,0.9924,0.7438,0.8005,2.0385,0.6991,1
86870.0,1223.99,509.7596,217.9309,87691.0,332.5753,0.904,0.9906,0.5805,0.7287,2.3391,0.6524,1
88078.0,1120.597,425.8628,264.2496,88802.0,334.8797,0.7842,0.9918,0.7441,0.8814,1.6116,0.7864,0
98057.0,1245.759,494.1896,255.1054,99281.0,353.3413,0.8565,0.9877,0.6248,0.794,1.9372,0.715,0
80861.0,1158.947,471.8584,220.2371,81771.0,320.8667,0.8844,0.9889,0.593,0.7565,2.1425,0.68,0
85518.0,1203.08,505.5947,216.8482,86248.0,329.9771,0.9034,0.9915,0.5758,0.7425,2.3316,0.6527,1
59729.0,935.054,351.2843,217.6438,60476.0,275.7704,0.7849,0.9876,0.7135,0.8585,1.614,0.785,0
97138.0,1189.701,457.4477,271.1058,97869.0,351.6816,0.8055,0.9925,0.6931,0.8624,1.6873,0.7688,0
125697.0,1403.4720000000002,569.1473,282.2073,126538.0,400.05300000000005,0.8684,0.9934,0.6595,0.8019,2.0168,0.7029,1
77063.0,1109.138,452.2426,217.8907,77806.0,313.2406,0.8763,0.9905,0.6162,0.7872,2.0755,0.6926,0
79511.0,1117.249,455.1494,223.4867,80285.0,318.1769,0.8711,0.9904,0.6643,0.8005,2.0366,0.6991,1
85946.0,1121.265,420.8492,261.7127,87047.0,330.8018,0.7831,0.9874,0.7354,0.8591,1.6081,0.7859999999999999,0
92335.0,1267.897,539.7985,218.4157,93195.0,342.8769,0.9145,0.9908,0.5455,0.7218,2.4714,0.6352,1
100296.0,1302.282,545.71,235.5925,101503.0,357.3525,0.902,0.9881,0.6819,0.7432,2.3163,0.6548,1
110058.0,1406.421,606.7535,231.952,111273.0,374.3397,0.924,0.9891,0.6465,0.6992,2.6159,0.617,1
65814.0,1018.301,416.8328,201.8135,66373.0,289.4771,0.875,0.9916,0.71,0.7976,2.0654,0.6945,1
71556.0,1095.265,457.3556,200.7108,72376.0,301.8409,0.8986,0.9887,0.7329,0.7496,2.2787,0.66,1
69119.0,1004.552,398.421,221.4899,69560.0,296.6564,0.8312,0.9937,0.6819,0.8607,1.7988,0.7446,0
85316.0,1214.989,518.8345,209.7794,85904.0,329.5872,0.9146,0.9932,0.7113,0.7263,2.4732,0.6352,1
82455.0,1267.162,559.186,188.5021,83197.0,324.0138,0.9415,0.9911,0.4822,0.6453,2.9665,0.5794,1
86455.0,1161.0710000000001,463.0833,238.1565,87340.0,331.7799,0.8576,0.9899,0.6824,0.8059,1.9444,0.7165,0
74110.0,1035.735,400.4821,236.1706,74794.0,307.1804,0.8076,0.9909,0.7414,0.8681,1.6957,0.767,0
81601.0,1095.816,418.4185,249.6238,82693.0,322.3315,0.8025,0.9868,0.7512,0.8539,1.6762,0.7704,0
88660.0,1171.153,473.4125,239.5984,89222.0,335.9843,0.8625,0.9937,0.7112,0.8123,1.9759,0.7097,1
83911.0,1124.358,438.4762,244.9962,84745.0,326.8621,0.8293,0.9902,0.6836,0.8341,1.7897,0.7454,0
80519.0,1105.276,435.6902,236.2395,81250.0,320.1874,0.8402,0.991,0.7417,0.8283,1.8443,0.7349,0
81483.0,1166.903,482.7031,215.5869,82374.0,322.0984,0.8947,0.9892,0.7373,0.752,2.239,0.6673,1
99165.0,1293.379,534.1621,237.2381,100300.0,355.332,0.8959999999999999,0.9887,0.6314,0.7449,2.2516,0.6652,1
75768.0,1072.192,424.6478,228.7744,76658.0,310.5975,0.8425,0.9884,0.6735,0.8282,1.8562,0.7314,0
61934.0,1014.2439999999999,420.2845,188.4084,62707.0,280.8146,0.8939,0.9877,0.7521,0.7566,2.2307,0.6682,1
90812.0,1191.9460000000001,481.0053,241.9225,91662.0,340.0374,0.8643,0.9907,0.7519,0.8032,1.9883,0.7069,0
81737.0,1144.461,469.1301,222.8947,82574.0,322.6,0.8799,0.9899,0.7354,0.7842,2.1047,0.6877,0
98845.0,1274.021,534.7285,235.9331,99742.0,354.7582,0.8974,0.991,0.7383,0.7653,2.2664,0.6634,1
74249.0,1082.226,434.4474,218.4924,75291.0,307.4683,0.8643,0.9862,0.7379,0.7966,1.9884,0.7077,1
102336.0,1241.001,490.5406,266.7169,103286.0,360.9685,0.8393,0.9908,0.7306,0.835,1.8392,0.7359,0
67962.0,1005.691,399.8253,217.4008,68470.0,294.1631,0.8393,0.9926,0.6562,0.8444,1.8391,0.7357,1
72901.0,1079.894,446.233,208.3804,73523.0,304.6645,0.8843,0.9915,0.75,0.7856,2.1414,0.6827,0
94983.0,1198.26,477.5088,253.8058,95906.0,347.7587,0.847,0.9904,0.7302,0.8313,1.8814,0.7283,0
62584.0,1017.196,345.0958,233.8076,64781.0,282.2843,0.7355,0.9661,0.7357,0.7601,1.476,0.818,0
56700.0,944.0889999999999,364.9163,201.7569,57658.0,268.687,0.8333,0.9834,0.7175,0.7994,1.8087,0.7363,1
81238.0,1105.192,432.5995,240.8749,82019.0,321.6138,0.8306,0.9905,0.693,0.8358,1.796,0.7434,0
86686.0,1208.535,509.7207,216.9252,87352.0,332.2229,0.9049,0.9924,0.7411,0.7458,2.3498,0.6518,1
97497.0,1223.06,468.6295,266.2156,98484.0,352.3309,0.823,0.99,0.7307,0.8190000000000001,1.7603,0.7518,0
74104.0,1067.604,401.8534,237.2761,75071.0,307.1679,0.8071,0.9871,0.7378,0.8170000000000001,1.6936,0.7644,0
91338.0,1210.058,505.5068,230.9829,91971.0,341.0208,0.8895,0.9931,0.7621,0.7839,2.1885,0.6746,1
63928.0,1029.559,412.399,198.9269,64857.0,285.2992,0.8759999999999999,0.9857,0.7424,0.7579,2.0731,0.6918,1
71327.0,1035.464,415.7296,219.3659,72057.0,301.3575,0.8495,0.9899,0.6928,0.836,1.8951,0.7249,0
68320.0,1080.104,455.0934,192.1897,69205.0,294.9368,0.9065,0.9872,0.5434,0.7359,2.3679,0.6481,1
71383.0,1101.67,463.9353,196.6093,71987.0,301.4758,0.9058,0.9916,0.5509,0.7391,2.3597,0.6498,1
73423.0,1101.123,440.608,215.4848,74415.0,305.7533,0.8722,0.9867,0.7199,0.7609999999999999,2.0447,0.6939,1
61426.0,984.2239999999999,404.3572,193.8844,61915.0,279.6605,0.8775,0.9921,0.7527,0.7968,2.0856,0.6916,1
73090.0,1036.147,410.5248,227.6571,73637.0,305.0591,0.8321,0.9926,0.7490000000000001,0.8555,1.8033,0.7431,1
69792.0,1054.112,418.1591,214.3962,70460.0,298.0972,0.8586,0.9905,0.6558,0.7893,1.9504,0.7129,0
73944.0,1106.772,460.6736,204.9183,74709.0,306.8362,0.8956,0.9898,0.718,0.7586,2.2481,0.6661,1
58442.0,994.502,412.5136,181.1641,59098.0,272.7832,0.8984,0.9889,0.7257,0.7425,2.2769999999999997,0.6613,1
106237.0,1321.7079999999999,547.9812,247.8929,106911.0,367.7841,0.8918,0.9937,0.608,0.7642,2.2106,0.6712,1
79015.0,1065.738,407.9096,247.5904,79705.0,317.1829,0.7947,0.9913,0.722,0.8742,1.6475,0.7776,0
64783.0,1069.99,394.0979,214.5254,66488.0,287.2008,0.8389,0.9744,0.7678,0.7111,1.8371,0.7288,1
78025.0,1198.8980000000001,446.99300000000005,229.1742,79611.0,315.1897,0.8586,0.9801,0.6459999999999999,0.6821,1.9505,0.7051,1
88420.0,1180.214,488.1864,231.4084,89104.0,335.5292,0.8805,0.9923,0.6123,0.7977,2.1096,0.6873,1
93982.0,1220.094,486.5058,247.5234,95165.0,345.9214,0.8609,0.9876,0.6997,0.7934,1.9655,0.711,0
50475.0,973.2719999999999,398.3902,162.796,51385.0,253.5089,0.9127,0.9823,0.7591,0.6696,2.4472,0.6363,1
87843.0,1149.763,454.6367,248.0094,88895.0,334.4326,0.8381,0.9882,0.7319,0.835,1.8331,0.7356,0
97268.0,1267.072,518.7468,239.488,98334.0,351.9168,0.8871,0.9892,0.7327,0.7613,2.1661,0.6784,1
86117.0,1218.9560000000001,519.6086,211.7998,86789.0,331.1307,0.9132,0.9923,0.7314,0.7283,2.4533,0.6373,1
